2023-02-02 10:58:46,597 INFO  StartupInfoLogger:55 - [] Starting BookingApplication using Java 17.0.5 on lin82000649 with PID 12224 (C:\Users\ynaaju\Downloads\Online-Railway-Reservation-System-CaseStudy-master\Online-Railway-Reservation-System-CaseStudy-master\Backend\Booking\target\classes started by ynaaju in C:\Users\ynaaju\Downloads\Online-Railway-Reservation-System-CaseStudy-master\Online-Railway-Reservation-System-CaseStudy-master\Backend\Booking)
2023-02-02 10:58:46,612 INFO  SpringApplication:640 - [] No active profile set, falling back to 1 default profile: "default"
2023-02-02 10:58:46,747 INFO  DeferredLog:255 - [] Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-02 10:58:46,748 INFO  DeferredLog:255 - [] For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-02 10:58:47,787 INFO  RepositoryConfigurationDelegate:132 - [] Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-02-02 10:58:47,933 INFO  RepositoryConfigurationDelegate:201 - [] Finished Spring Data repository scanning in 137 ms. Found 1 MongoDB repository interfaces.
2023-02-02 10:58:48,292 INFO  GenericScope:283 - [] BeanFactory id=57393b4c-538b-3c47-8631-3e25121c76e1
2023-02-02 10:58:49,059 INFO  TomcatWebServer:108 - [] Tomcat initialized with port(s): 8086 (http)
2023-02-02 10:58:49,075 INFO  DirectJDKLog:173 - [] Starting service [Tomcat]
2023-02-02 10:58:49,077 INFO  DirectJDKLog:173 - [] Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-02-02 10:58:49,226 INFO  DirectJDKLog:173 - [] Initializing Spring embedded WebApplicationContext
2023-02-02 10:58:49,227 INFO  ServletWebServerApplicationContext:290 - [] Root WebApplicationContext: initialization completed in 2478 ms
2023-02-02 10:58:49,602 INFO  SLF4JLogger:71 - [] Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster.wqn7mmm.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-lzjbj9-shard-0'}
2023-02-02 10:58:49,717 WARN  CustomConversions:261 - [] Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-02-02 10:58:49,771 INFO  SLF4JLogger:71 - [] Adding discovered server ac-ycvhgkf-shard-00-02.wqn7mmm.mongodb.net:27017 to client view of cluster
2023-02-02 10:58:49,823 INFO  SLF4JLogger:71 - [] Adding discovered server ac-ycvhgkf-shard-00-00.wqn7mmm.mongodb.net:27017 to client view of cluster
2023-02-02 10:58:49,830 INFO  SLF4JLogger:71 - [] Adding discovered server ac-ycvhgkf-shard-00-01.wqn7mmm.mongodb.net:27017 to client view of cluster
2023-02-02 10:58:49,855 WARN  OptionalLiveReloadServer:61 - [] Unable to start LiveReload server
2023-02-02 10:58:49,974 WARN  CustomConversions:261 - [] Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-02-02 10:58:51,172 INFO  SLF4JLogger:71 - [] Opened connection [connectionId{localValue:4, serverValue:150709}] to ac-ycvhgkf-shard-00-02.wqn7mmm.mongodb.net:27017
2023-02-02 10:58:51,172 INFO  SLF4JLogger:71 - [] Opened connection [connectionId{localValue:1, serverValue:156142}] to ac-ycvhgkf-shard-00-00.wqn7mmm.mongodb.net:27017
2023-02-02 10:58:51,172 INFO  SLF4JLogger:71 - [] Opened connection [connectionId{localValue:5, serverValue:156142}] to ac-ycvhgkf-shard-00-00.wqn7mmm.mongodb.net:27017
2023-02-02 10:58:51,172 INFO  SLF4JLogger:71 - [] Opened connection [connectionId{localValue:3, serverValue:158323}] to ac-ycvhgkf-shard-00-01.wqn7mmm.mongodb.net:27017
2023-02-02 10:58:51,172 INFO  SLF4JLogger:71 - [] Opened connection [connectionId{localValue:6, serverValue:158367}] to ac-ycvhgkf-shard-00-01.wqn7mmm.mongodb.net:27017
2023-02-02 10:58:51,172 INFO  SLF4JLogger:71 - [] Opened connection [connectionId{localValue:2, serverValue:150709}] to ac-ycvhgkf-shard-00-02.wqn7mmm.mongodb.net:27017
